,ingre_count,is_described,duration,venue_0,venue_1,venue_2,venue_3,container_0,container_1,container_2,container_3,container_4,container_5,container_6,container_7,container_8,container_9
116,5,1,97,0,1,0,0,0,0,1,0,0,0,0,0,0,0
117,8,1,77,0,1,0,0,1,0,0,0,0,0,0,0,0,0
118,8,1,134,0,1,0,0,1,0,0,0,0,0,0,0,0,0
119,12,1,75,0,1,0,0,0,0,0,0,1,0,0,0,0,0
120,2,1,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0
121,5,1,58,0,1,0,0,0,0,1,0,0,0,0,0,0,0
122,5,1,98,0,1,0,0,0,0,1,0,0,0,0,0,0,0
123,2,0,175,0,1,0,0,0,0,1,0,0,0,0,0,0,0
124,6,1,18,0,1,0,0,0,0,0,0,1,0,0,0,0,0
125,5,1,159,0,1,0,0,0,0,0,0,1,0,0,0,0,0
126,6,1,33,0,1,0,0,0,0,1,0,0,0,0,0,0,0
127,1,0,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0
128,0,0,83,0,1,0,0,0,0,1,0,0,0,0,0,0,0
129,0,0,95,0,1,0,0,0,0,0,0,1,0,0,0,0,0
130,2,0,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0
131,0,0,30,0,1,0,0,1,0,0,0,0,0,0,0,0,0
132,0,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0
133,1,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0
134,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0
135,2,0,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0
136,0,0,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0
137,2,0,101,1,0,0,0,1,0,0,0,0,0,0,0,0,0
138,6,1,32,0,1,0,0,0,0,0,1,0,0,0,0,0,0
139,9,1,35,0,1,0,0,1,0,0,0,0,0,0,0,0,0
140,3,0,38,0,1,0,0,0,0,0,0,1,0,0,0,0,0
141,1,0,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0
142,0,0,34,1,0,0,0,0,0,1,0,0,0,0,0,0,0
143,4,0,33,1,0,0,0,0,0,1,0,0,0,0,0,0,0
144,4,1,181,1,0,0,0,0,0,1,0,0,0,0,0,0,0
145,0,0,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0
146,3,1,33,0,1,0,0,0,0,1,0,0,0,0,0,0,0
147,0,0,33,0,1,0,0,1,0,0,0,0,0,0,0,0,0
148,3,1,23,0,1,0,0,0,0,0,0,0,0,0,0,1,0
149,3,1,17,0,1,0,0,1,0,0,0,0,0,0,0,0,0
150,0,0,27,0,1,0,0,1,0,0,0,0,0,0,0,0,0
151,0,0,18,0,1,0,0,0,0,0,0,0,0,0,1,0,0
152,2,0,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0
153,0,0,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0
154,2,0,70,0,1,0,0,0,0,0,0,1,0,0,0,0,0
155,2,0,194,0,1,0,0,0,0,0,0,1,0,0,0,0,0
156,2,0,70,0,1,0,0,1,0,0,0,0,0,0,0,0,0
157,0,0,173,1,0,0,0,0,0,0,0,0,0,0,1,0,0
158,0,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0
159,4,0,44,0,1,0,0,1,0,0,0,0,0,0,0,0,0
160,7,0,79,0,1,0,0,1,0,0,0,0,0,0,0,0,0
161,0,0,42,0,1,0,0,0,0,1,0,0,0,0,0,0,0
162,1,0,50,0,1,0,0,0,0,0,0,1,0,0,0,0,0
163,0,0,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0
164,2,0,55,0,0,0,1,0,0,0,0,1,0,0,0,0,0
165,3,0,81,0,0,0,1,0,0,0,0,1,0,0,0,0,0
166,2,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0
167,0,0,17,0,1,0,0,1,0,0,0,0,0,0,0,0,0
168,0,0,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0
169,3,0,70,0,1,0,0,0,0,0,0,1,0,0,0,0,0
170,3,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0
171,0,0,46,0,1,0,0,0,0,0,0,0,0,1,0,0,0
172,2,0,55,0,1,0,0,0,0,0,0,1,0,0,0,0,0
173,3,1,46,1,0,0,0,0,0,0,1,0,0,0,0,0,0
174,1,0,55,1,0,0,0,0,0,0,0,0,0,0,1,0,0
175,1,0,168,1,0,0,0,1,0,0,0,0,0,0,0,0,0
176,0,0,37,1,0,0,0,1,0,0,0,0,0,0,0,0,0
177,5,1,64,1,0,0,0,0,0,0,1,0,0,0,0,0,0
178,2,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
179,4,1,138,0,1,0,0,0,0,1,0,0,0,0,0,0,0
180,1,0,103,0,1,0,0,1,0,0,0,0,0,0,0,0,0
181,3,0,181,0,1,0,0,0,0,1,0,0,0,0,0,0,0
182,2,0,108,1,0,0,0,0,0,1,0,0,0,0,0,0,0
183,5,1,110,0,1,0,0,0,0,1,0,0,0,0,0,0,0
184,2,0,77,0,1,0,0,0,0,1,0,0,0,0,0,0,0
185,4,1,55,0,1,0,0,0,0,0,0,1,0,0,0,0,0
186,8,1,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0
187,10,1,50,0,1,0,0,1,0,0,0,0,0,0,0,0,0
188,9,1,175,0,1,0,0,1,0,0,0,0,0,0,0,0,0
189,10,1,128,0,1,0,0,0,0,1,0,0,0,0,0,0,0
190,12,1,273,0,1,0,0,0,0,1,0,0,0,0,0,0,0
191,1,0,180,0,1,0,0,0,0,1,0,0,0,0,0,0,0
192,9,1,141,1,0,0,0,0,0,1,0,0,0,0,0,0,0
193,2,0,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0
194,9,1,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0
195,5,1,33,0,1,0,0,1,0,0,0,0,0,0,0,0,0
196,6,1,31,0,1,0,0,0,0,0,0,1,0,0,0,0,0
197,2,0,19,0,1,0,0,0,0,0,0,1,0,0,0,0,0
198,6,1,20,0,1,0,0,0,0,1,0,0,0,0,0,0,0
199,9,1,30,0,1,0,0,0,0,1,0,0,0,0,0,0,0
200,10,1,24,0,1,0,0,1,0,0,0,0,0,0,0,0,0
201,11,1,254,0,1,0,0,1,0,0,0,0,0,0,0,0,0
202,0,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0
203,3,1,51,0,1,0,0,0,0,0,1,0,0,0,0,0,0
204,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0
205,4,1,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0
206,7,1,40,0,1,0,0,0,0,0,0,1,0,0,0,0,0
207,8,1,137,0,1,0,0,1,0,0,0,0,0,0,0,0,0
208,9,1,237,0,1,0,0,0,0,0,0,0,0,0,0,1,0
209,2,1,50,0,1,0,0,0,0,0,0,1,0,0,0,0,0
210,7,1,107,0,1,0,0,0,0,0,0,0,0,0,0,1,0
211,2,0,173,0,1,0,0,0,0,0,0,0,1,0,0,0,0
212,8,1,338,0,1,0,0,1,0,0,0,0,0,0,0,0,0
213,5,1,325,0,1,0,0,1,0,0,0,0,0,0,0,0,0
214,4,0,137,1,0,0,0,0,0,1,0,0,0,0,0,0,0
215,6,1,156,0,0,0,1,0,0,0,0,0,0,0,0,1,0
216,8,1,69,0,0,0,1,0,0,1,0,0,0,0,0,0,0
217,8,1,129,0,0,0,1,0,0,1,0,0,0,0,0,0,0
218,2,1,25,0,0,0,1,0,0,1,0,0,0,0,0,0,0
219,14,1,130,0,0,0,1,0,0,1,0,0,0,0,0,0,0
220,9,1,153,0,0,0,1,0,0,0,0,0,0,0,0,1,0
221,4,1,173,0,1,0,0,1,0,0,0,0,0,0,0,0,0
222,6,1,59,0,1,0,0,1,0,0,0,0,0,0,0,0,0
223,1,0,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0
224,3,0,181,0,1,0,0,0,0,1,0,0,0,0,0,0,0
225,0,0,89,0,1,0,0,0,0,1,0,0,0,0,0,0,0
226,1,0,137,0,1,0,0,0,0,1,0,0,0,0,0,0,0
227,1,0,84,0,1,0,0,0,0,1,0,0,0,0,0,0,0
228,4,0,19,0,1,0,0,1,0,0,0,0,0,0,0,0,0
229,2,0,47,0,1,0,0,0,0,0,1,0,0,0,0,0,0
230,4,1,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0
231,6,1,32,0,1,0,0,0,0,1,0,0,0,0,0,0,0
232,0,0,56,0,1,0,0,0,0,1,0,0,0,0,0,0,0
233,2,0,226,1,0,0,0,1,0,0,0,0,0,0,0,0,0
234,4,0,30,0,1,0,0,1,0,0,0,0,0,0,0,0,0
235,2,0,27,0,1,0,0,0,0,0,0,1,0,0,0,0,0
236,5,1,110,0,1,0,0,0,0,1,0,0,0,0,0,0,0
237,0,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0
238,0,0,37,1,0,0,0,0,0,0,0,0,1,0,0,0,0
239,2,0,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0
240,3,1,248,1,0,0,0,0,1,0,0,0,0,0,0,0,0
241,2,1,131,0,1,0,0,1,0,0,0,0,0,0,0,0,0
242,14,1,148,0,1,0,0,1,0,0,0,0,0,0,0,0,0
243,1,0,85,0,1,0,0,0,0,1,0,0,0,0,0,0,0
244,8,1,75,0,1,0,0,0,0,1,0,0,0,0,0,0,0
245,5,1,85,0,1,0,0,0,0,0,0,1,0,0,0,0,0
246,6,1,162,1,0,0,0,1,0,0,0,0,0,0,0,0,0
247,8,1,123,0,1,0,0,0,0,0,0,1,0,0,0,0,0
248,10,1,231,0,1,0,0,0,1,0,0,0,0,0,0,0,0
249,7,1,208,0,1,0,0,1,0,0,0,0,0,0,0,0,0
250,1,1,64,0,1,0,0,1,0,0,0,0,0,0,0,0,0
251,5,1,134,1,0,0,0,1,0,0,0,0,0,0,0,0,0
